acc	organisms	technology	platforms	samples
SRP145098	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 4000	SRR7140131,SRR7140130,SRR7140129,SRR7140128,SRR7140127,SRR7140126,SRR7140125,SRR7140124,SRR7140123
SRP028932	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP083888	RATTUS_NORVEGICUS	RNA-SEQ	Ion Torrent Proton	SRR4105441,SRR4105440,SRR4105439,SRR4105438,SRR4105437,SRR4105436
ERP011250	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	ERR974065,ERR974064,ERR974063,ERR974062,ERR974061,ERR974060,ERR974059,ERR974058,ERR974057,ERR974056,ERR974055,ERR974054,ERR974053,ERR974052
SRP078244	RATTUS_NORVEGICUS	RNA-SEQ	Ion Torrent Proton	NA
SRP096190	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP018943	RATTUS_NORVEGICUS	RNA-SEQ	Illumina Genome Analyzer	SRR768351,SRR768350
SRP013378	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP022136	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiScanSQ	SRR846980,SRR846979,SRR846978,SRR846977,SRR846976,SRR846975,SRR846974,SRR846973,SRR846972,SRR846971,SRR846970,SRR846969
SRP044030	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	NA
SRP116310	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	SRR5984236,SRR5984235
SRP118982	RATTUS_NORVEGICUS	RNA-SEQ	NextSeq 500	NA
SRP115944	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 3000	SRR5956139,SRR5956138,SRR5956137,SRR5956136,SRR5956135,SRR5956134,SRR5956133,SRR5956132,SRR5956131,SRR5956130,SRR5956129,SRR5956128
SRP100772	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 1000	NA
SRP051483	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP045544	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	SRR1552514,SRR1552513,SRR1552512
SRP035209	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP018516	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP017255	RATTUS_NORVEGICUS	RNA-SEQ	Illumina Genome Analyzer IIx	NA
SRP007413	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP141195	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP049765	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	SRR1659013,SRR1659012,SRR1659011,SRR1659008,SRR1659007,SRR1659006,SRR1658962,SRR1658960,SRR1658959,SRR1658950,SRR1658949,SRR1658948,SRR1658919,SRR1658918,SRR1658917,SRR1658916,SRR1658915,SRR1654812,SRR1654810,SRR1652488,SRR1652487,SRR1649575
SRP018322	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP060621	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	NA
ERP009735	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	NA
SRP144163	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	NA
SRP041741	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP057517	RATTUS_NORVEGICUS	RNA-SEQ	NextSeq 500	NA
SRP075033	RATTUS_NORVEGICUS	RNA-SEQ	NextSeq 500	NA
SRP036442	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP065879	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	SRR2927732,SRR2927731,SRR2927730,SRR2927729,SRR2927728,SRR2927727
SRP078466	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
ERP019989	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	NA
ERP015402	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	NA
SRP066667	RATTUS_NORVEGICUS	RNA-SEQ	Illumina Genome Analyzer IIx	SRR2960744,SRR2960743,SRR2960742,SRR2960741,SRR2960740,SRR2960739,SRR2960738,SRR2960737,SRR2960736,SRR2960735
